episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon,mean_loss,optimization_steps,replay_buffer_size,elapsed_seconds
174,0.65753386,9.27956392,1,28,0.01512657,0.42013897,0.07849942,9552,10051,71.7020
175,0.67157953,6.37102513,1,33,0.01117981,0.41803828,0.09443661,9585,10084,71.9426
176,0.57372537,13.68703697,1,19,0.00418470,0.41594809,0.09300436,9604,10103,72.0671
177,0.76879027,8.76022859,1,27,0.00203307,0.41386835,0.08280787,9631,10130,72.2456
178,0.30094907,16.13773250,1,15,0.00036427,0.41179900,0.08518027,9646,10145,72.3350
179,0.62502752,8.67400934,1,30,0.01053725,0.40974001,0.08712668,9676,10175,72.5446
180,-0.07209707,13.86487217,1,30,0.00502919,0.40769131,0.09296653,9706,10205,72.7691
181,-0.19646566,16.13948902,1,17,0.00376805,0.40565285,0.08085035,9723,10222,72.8799
182,0.61877997,11.00672000,1,25,0.00018664,0.40362459,0.09314262,9748,10247,73.0467
183,0.06537311,17.69533020,1,10,0.00126939,0.40160647,0.10595003,9758,10257,73.1068
184,0.16404578,16.95606481,1,13,0.01483939,0.39959843,0.11423222,9771,10270,73.1936
185,0.27524283,12.36910823,1,29,0.00742060,0.39760044,0.08795590,9800,10299,73.4143
186,-0.00502107,17.75427538,1,8,0.01215626,0.39561244,0.09711788,9808,10307,73.4713
187,0.25825495,15.83103475,1,18,0.01433728,0.39363438,0.10496988,9826,10325,73.6181
188,0.61007928,12.00433760,1,23,0.01275835,0.39166620,0.09008984,9849,10348,73.7597
189,-0.78678408,7.72919653,1,29,0.02804210,0.38970787,0.09517438,9878,10377,73.9565
190,0.07642877,17.58477362,1,10,0.01232505,0.38775933,0.07460496,9888,10387,74.0403
191,0.12728886,17.16778622,1,12,0.02717205,0.38582054,0.11277648,9900,10399,74.1168
192,-0.64877777,12.84656462,1,30,0.01049489,0.38389143,0.11383752,9930,10429,74.3360
193,0.48067255,12.43193868,1,26,0.01541183,0.38197198,0.08410095,9956,10455,74.5774
194,-0.00172409,17.60667271,1,8,0.00320917,0.38006212,0.09335244,9964,10463,74.6532
195,0.52421246,11.19187999,1,28,0.00514421,0.37816181,0.08265029,9992,10491,74.8444
196,-0.03575375,17.54029233,1,10,0.00329481,0.37627100,0.09535665,10002,10501,74.9291
197,-0.14097278,17.10499420,1,13,0.00547570,0.37438964,0.08380953,10015,10514,75.0099
198,-0.77573384,9.21330069,1,27,0.01731310,0.37251769,0.08699183,10042,10541,75.1814
199,0.25458272,16.03996176,1,18,0.01078471,0.37065511,0.08311238,10060,10559,75.3315
200,-0.44712470,18.14270821,1,31,0.01564949,0.36880183,0.10672490,10091,10590,75.5556
201,-0.66174323,12.28660838,1,22,0.00724139,0.36695782,0.09413819,10113,10612,75.7102
202,-0.04723024,17.62856134,1,9,0.01270798,0.36512303,0.09366290,10122,10621,75.7719
203,-0.65255067,12.45739191,1,22,0.01014872,0.36329742,0.09059994,10144,10643,75.9084
204,-0.14794845,16.87557979,1,15,0.00037731,0.36148093,0.09427374,10159,10658,76.0061
205,-0.39614325,12.64418541,1,26,0.03645679,0.35967353,0.09884317,10185,10684,76.1653
206,0.41378080,14.38441180,1,19,0.01841592,0.35787516,0.10007911,10204,10703,76.2730
207,0.24596738,16.41538192,1,16,0.00242628,0.35608578,0.09622994,10220,10719,76.3784
208,0.71858652,11.45616855,1,23,0.03486784,0.35430535,0.08634808,10243,10742,76.5340
209,-0.47366811,15.95599633,1,27,0.00632197,0.35253383,0.08509324,10270,10769,76.7313
210,0.08165696,17.58355870,1,10,0.00004813,0.35077116,0.12708416,10280,10779,76.7973
211,0.10023651,17.27465521,1,13,0.00132030,0.34901730,0.09888883,10293,10792,76.8861
212,-0.39187978,14.41135255,1,22,0.02286757,0.34727222,0.08905642,10315,10814,77.0585
213,-0.08884428,17.59261988,1,11,0.00806994,0.34553585,0.10387934,10326,10825,77.1665
214,0.49369719,13.84447636,1,21,0.00003402,0.34380817,0.08550827,10347,10846,77.3699
215,0.34557186,14.68535897,1,21,0.00154806,0.34208913,0.09978649,10368,10867,77.5888
216,0.39501508,15.33605350,1,18,0.00203171,0.34037869,0.13738431,10386,10885,77.7716
