episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon,mean_loss,optimization_steps,replay_buffer_size,elapsed_seconds
160,0.78517399,11.07915634,1,23,0.00344907,0.09044002,0.05226965,6203,6702,46.2180
161,-0.24594000,16.70911351,1,14,0.01698890,0.08908342,0.05402338,6217,6716,46.3126
162,0.44950888,14.82684458,1,19,0.00525486,0.08774717,0.04894899,6236,6735,46.4317
163,0.05829615,17.75854613,1,9,0.00606575,0.08643096,0.05201566,6245,6744,46.4953
164,0.65309698,12.74218757,1,21,0.00542200,0.08513450,0.07540006,6266,6765,46.6149
165,0.57921505,20.29716417,1,29,0.00554321,0.08385748,0.05919973,6295,6794,46.8049
166,-0.35798944,15.42727717,1,18,0.01132163,0.08259962,0.04894359,6313,6812,46.9446
167,0.72675547,11.96971480,1,22,0.00508511,0.08136062,0.04729140,6335,6834,47.0695
168,-0.34392800,16.16032968,1,16,0.00609822,0.08014021,0.04219337,6351,6850,47.1842
169,0.35500649,15.99510809,1,16,0.00993349,0.07893811,0.04478786,6367,6866,47.2996
170,-0.08526263,17.68992700,1,11,0.00713371,0.07775404,0.04197291,6378,6877,47.3673
171,0.11608945,17.49269898,1,11,0.00091955,0.07658773,0.04039323,6389,6888,47.4546
172,0.24137709,16.29793434,1,17,0.00137979,0.07543891,0.04299824,6406,6905,47.5581
173,-0.64879108,12.65091049,1,21,0.00404015,0.07430733,0.04813981,6427,6926,47.6928
174,0.65753386,12.75214428,1,21,0.00695688,0.07319272,0.03981454,6448,6947,47.8118
175,0.67157953,11.31636810,1,23,0.00368513,0.07209483,0.04349489,6471,6970,47.9585
176,0.57372537,13.21759826,1,21,0.00106743,0.07101341,0.03980678,6492,6991,48.0789
177,0.76879027,14.07477432,1,25,0.00479757,0.06994820,0.06178844,6517,7016,48.2290
178,0.30094907,16.11668314,1,15,0.00729597,0.06889898,0.05360439,6532,7031,48.3199
179,0.62502752,14.80951862,1,25,0.01177024,0.06786550,0.04971776,6557,7056,48.4625
180,-0.07209707,17.60581151,1,10,0.00575209,0.06684751,0.04042752,6567,7066,48.5239
181,-0.19646566,16.72506804,1,16,0.00524478,0.06584480,0.04482263,6583,7082,48.6213
182,0.61877997,12.76506600,1,21,0.00056576,0.06485713,0.04216637,6604,7103,48.7330
183,0.06537311,17.79833300,1,10,0.00513045,0.06388427,0.03777191,6614,7113,48.8003
184,0.16404578,17.13740591,1,13,0.01019994,0.06292601,0.04156028,6627,7126,48.8726
185,0.27524283,16.34911805,1,16,0.00332310,0.06198212,0.05198602,6643,7142,48.9806
186,-0.00502107,17.95983144,1,8,0.00502107,0.06105239,0.03949701,6651,7150,49.0428
187,0.25825495,16.51144468,1,15,0.00835415,0.06013660,0.04915754,6666,7165,49.1285
188,0.61007928,12.85150298,1,22,0.00042629,0.05923455,0.04950854,6688,7187,49.2585
189,-0.78678408,10.98205835,1,22,0.01616222,0.05834603,0.04932874,6710,7209,49.4161
190,0.07642877,17.72187357,1,10,0.00592521,0.05747084,0.03622947,6720,7219,49.4774
191,0.12728886,17.50325681,1,12,0.01827018,0.05660878,0.04296983,6732,7231,49.5467
192,-0.64877777,12.86348361,1,20,0.00316458,0.05575965,0.04854757,6752,7251,49.7101
193,0.48067255,14.71710875,1,18,0.01432081,0.05492325,0.06275356,6770,7269,49.8241
194,-0.00172409,17.98620730,1,8,0.00172409,0.05409940,0.05097354,6778,7277,49.8748
195,0.52421246,14.13806364,1,19,0.00427017,0.05328791,0.06222709,6797,7296,49.9970
196,-0.03575375,17.74256923,1,8,0.00960812,0.05248859,0.05709521,6805,7304,50.0454
197,-0.14097278,17.45125692,1,12,0.00433478,0.05170127,0.05240314,6817,7316,50.1157
198,-0.77573384,11.31572740,1,22,0.00923566,0.05092575,0.04705060,6839,7338,50.2642
199,0.25458272,16.54917668,1,14,0.00730730,0.05016186,0.04715714,6853,7352,50.3458
200,-0.44712470,15.13065258,1,19,0.01526887,0.05000000,0.04534384,6872,7371,50.4888
201,-0.66174323,12.32789487,1,23,0.00441008,0.05000000,0.04651070,6895,7394,50.6500
202,-0.04723024,17.51245894,1,9,0.02008861,0.05000000,0.04401585,6904,7403,50.7074
203,-0.65255067,12.82717553,1,21,0.00704853,0.05000000,0.04639573,6925,7424,50.8714
204,-0.14794845,17.42985220,1,13,0.00132022,0.05000000,0.04274064,6938,7437,50.9462
205,-0.39614325,15.58196610,1,18,0.00108533,0.05000000,0.04465541,6956,7455,51.0501
206,0.41378080,14.22092031,1,20,0.01019008,0.05000000,0.04701853,6976,7475,51.1729
207,0.24596738,16.78124539,1,14,0.00181515,0.05000000,0.04040075,6990,7489,51.2751
208,0.71858652,12.08557155,1,22,0.00987528,0.05000000,0.06271523,7012,7511,51.4089
209,-0.47366811,14.83918582,1,19,0.00308219,0.05000000,0.06719842,7031,7530,51.5214
210,0.08165696,17.61767581,1,10,0.00135500,0.05000000,0.06688156,7041,7540,51.5970
211,0.10023651,17.40856489,1,11,0.00384068,0.05000000,0.05543885,7052,7551,51.6603
212,-0.39187978,15.57282811,1,18,0.00294776,0.05000000,0.05266073,7070,7569,51.7718
213,-0.08884428,17.54802043,1,12,0.00784516,0.05000000,0.04940938,7082,7581,51.8457
214,0.49369719,14.46054019,1,19,0.01389692,0.05000000,0.06162487,7101,7600,51.9515
215,0.34557186,15.84410936,1,17,0.00948538,0.05000000,0.04259549,7118,7617,52.0482
216,0.39501508,15.60814297,1,17,0.00562094,0.05000000,0.05513825,7135,7634,52.1455
217,-0.23797407,16.75570401,1,15,0.00502849,0.05000000,0.04706421,7150,7649,52.2415
218,0.15956888,17.22722262,1,12,0.00562830,0.05000000,0.05283119,7162,7661,52.3137
219,0.69046981,12.31195098,1,22,0.00139753,0.05000000,0.04713875,7184,7683,52.4568
220,-0.25037858,16.73544346,1,14,0.00703216,0.05000000,0.04796578,7198,7697,52.5784
221,0.54489188,14.15858310,1,20,0.00956054,0.05000000,0.05334086,7218,7717,52.7350
222,-0.26035695,16.50174304,1,15,0.00390064,0.05000000,0.04979719,7233,7732,52.8429
223,-0.19335398,16.98948706,1,13,0.00255559,0.05000000,0.05364228,7246,7745,52.9317
224,-0.29511368,16.40183024,1,15,0.00181509,0.05000000,0.07045454,7261,7760,53.0339
225,-0.47134574,14.32834790,1,20,0.00263558,0.05000000,0.07007021,7281,7780,53.1745
226,0.12505313,17.26022382,1,12,0.01344169,0.05000000,0.06021930,7293,7792,53.2675
227,0.74030690,11.59720920,1,23,0.00122162,0.05000000,0.05161064,7316,7815,53.5277
228,-0.30293928,16.43595955,1,16,0.00684017,0.05000000,0.05204497,7332,7831,53.6845
229,-0.17823421,17.23278655,1,13,0.00754557,0.05000000,0.05804293,7345,7844,53.7770
230,0.45116721,14.87055996,1,19,0.01018702,0.05000000,0.05301309,7364,7863,53.9405
231,-0.10537804,17.38327471,1,11,0.00719734,0.05000000,0.05471818,7375,7874,54.0386
232,-0.49250674,14.33420953,1,20,0.00190859,0.05000000,0.05589147,7395,7894,54.1813
233,0.76175965,10.79604156,1,23,0.00311879,0.05000000,0.06095085,7418,7917,54.3200
234,0.67987095,11.42186460,1,23,0.00366766,0.05000000,0.05730861,7441,7940,54.4466
235,0.51532540,14.29533163,1,19,0.01043635,0.05000000,0.05216036,7460,7959,54.5789
236,0.02138863,17.76287150,1,8,0.00003294,0.05000000,0.05373764,7468,7967,54.6371
237,0.31860946,15.77158180,1,17,0.01544105,0.05000000,0.05208652,7485,7984,54.7369
238,-0.71918308,11.97690489,1,22,0.00270157,0.05000000,0.06748306,7507,8006,54.8777
239,0.79609278,10.79958344,1,24,0.00484358,0.05000000,0.07179558,7531,8030,55.0272
240,-0.08927153,17.63225297,1,10,0.00251017,0.05000000,0.09307742,7541,8040,55.0905
241,0.19924649,16.82962313,1,14,0.00015082,0.05000000,0.07739484,7555,8054,55.1866
242,0.39303261,15.67814990,1,17,0.00187414,0.05000000,0.06058279,7572,8071,55.2981
243,0.20823894,16.90127687,1,13,0.00081519,0.05000000,0.06024452,7585,8084,55.3969
244,-0.73315983,11.72594894,1,21,0.01172494,0.05000000,0.06299068,7606,8105,55.5420
245,-0.11606084,17.41461234,1,12,0.00330857,0.05000000,0.06330956,7618,8117,55.6238
246,0.56207828,12.86451027,1,22,0.00537860,0.05000000,0.06393465,7640,8139,55.8011
247,0.37343601,15.76322612,1,17,0.00822611,0.05000000,0.06686702,7657,8156,55.9344
248,0.54852044,13.68655463,1,21,0.00314263,0.05000000,0.06609068,7678,8177,56.0724
249,-0.17158075,17.19309959,1,13,0.01028497,0.05000000,0.07967480,7691,8190,56.1552
250,-0.49105224,14.37334779,1,19,0.00538808,0.05000000,0.07126447,7710,8209,56.2628
251,0.37107603,15.87371737,1,17,0.00468619,0.05000000,0.06632656,7727,8226,56.3764
252,0.30761203,16.44673513,1,16,0.00204019,0.05000000,0.06430806,7743,8242,56.4802
253,0.23477834,16.78700514,1,14,0.01262339,0.05000000,0.07916480,7757,8256,56.5612
254,-0.57394654,13.15741916,1,22,0.01140874,0.05000000,0.07750013,7779,8278,56.7226
255,0.26310541,16.39581442,1,15,0.01372016,0.05000000,0.06717490,7794,8293,56.8750
256,-0.68071982,12.26384751,1,21,0.00816124,0.05000000,0.09054627,7815,8314,56.9973
257,0.02779896,17.80378468,1,8,0.00653527,0.05000000,0.08342053,7823,8322,57.0457
258,0.33918184,15.89676783,1,17,0.00057005,0.05000000,0.07412938,7840,8339,57.1429
259,0.27259214,16.34742552,1,15,0.00275048,0.05000000,0.06124329,7855,8354,57.2631
260,-0.15881494,17.33331625,1,12,0.00516719,0.05000000,0.06732519,7867,8366,57.3833
261,0.41559407,15.50844348,1,18,0.00494970,0.05000000,0.07560455,7885,8384,57.5322
262,-0.45690813,14.59762105,1,19,0.00461820,0.05000000,0.08237803,7904,8403,57.7174
263,0.09918333,17.42141430,1,11,0.00473304,0.05000000,0.07506394,7915,8414,57.8358
264,0.34436289,15.78154014,1,16,0.00714668,0.05000000,0.07021251,7931,8430,58.0473
265,-0.70705494,12.15719664,1,21,0.00787023,0.05000000,0.06161836,7952,8451,58.2068
266,0.21267253,16.96887340,1,14,0.00881390,0.05000000,0.07754424,7966,8465,58.3360
267,0.29814007,16.48723001,1,15,0.01060137,0.05000000,0.06694444,7981,8480,58.5183
268,-0.42632682,15.31246608,1,17,0.00605063,0.05000000,0.07219596,7998,8497,58.7004
269,0.02974860,17.79064786,1,8,0.00350407,0.05000000,0.10734545,8006,8505,58.7890
270,-0.55894649,13.70147691,1,20,0.00342252,0.05000000,0.07457375,8026,8525,58.9517
271,0.07897408,17.63724731,1,10,0.00132788,0.05000000,0.08066304,8036,8535,59.0272
272,0.21091588,16.97987324,1,14,0.00760978,0.05000000,0.08040993,8050,8549,59.1239
273,0.67606748,12.48671005,1,22,0.00484485,0.05000000,0.08047195,8072,8571,59.2897
274,0.45678018,14.93495764,1,18,0.01317184,0.05000000,0.07795790,8090,8589,59.4262
275,0.79444247,10.83258960,1,24,0.00649389,0.05000000,0.08365810,8114,8613,59.6949
276,0.69486477,12.11654306,1,22,0.00615937,0.05000000,0.09627719,8136,8635,59.9033
277,0.73424705,11.61400116,1,23,0.00845105,0.05000000,0.09155428,8159,8658,60.1457
278,-0.46118098,14.42777561,1,19,0.01115395,0.05000000,0.09346934,8178,8677,60.3251
279,0.50221716,14.57564685,1,18,0.00003955,0.05000000,0.07167806,8196,8695,60.4720
280,0.25402671,16.55693219,1,15,0.00195888,0.05000000,0.08016526,8211,8710,60.5785
281,-0.30614653,16.14180024,1,16,0.00085187,0.05000000,0.07546290,8227,8726,60.7258
282,-0.35389965,15.96979972,1,16,0.00234599,0.05000000,0.07066864,8243,8742,60.8624
283,-0.40946362,15.32247157,1,18,0.00608268,0.05000000,0.10118128,8261,8760,60.9957
284,-0.05030686,17.68427624,1,9,0.01025487,0.05000000,0.10763392,8270,8769,61.0687
285,-0.72369773,11.81238078,1,21,0.00062881,0.05000000,0.09479012,8291,8790,61.2199
286,0.21945606,16.96867709,1,14,0.00361423,0.05000000,0.10022696,8305,8804,61.3145
287,0.68439156,12.27900926,1,21,0.00791073,0.05000000,0.08471587,8326,8825,61.4408
288,-0.41876949,15.35119774,1,17,0.00910756,0.05000000,0.07494483,8343,8842,61.5484
289,0.77451348,11.31649946,1,23,0.00943564,0.05000000,0.07890931,8366,8865,61.6827
