simulation_time,target_angle_rad,joint_angle_rad,joint_velocity_rad_s,angle_error_rad,commanded_torque_nm
1.692000,-0.800000,-1.044813,-0.094204,0.244813,3.203054
1.702000,-0.800000,-1.046150,-0.155763,0.246150,3.361041
1.712000,-0.800000,-1.047859,-0.152747,0.247859,3.475809
1.722000,-0.800000,-1.048691,-0.049679,0.248691,3.257859
1.732000,-0.800000,-1.048911,-0.007008,0.248911,3.171001
1.742000,-0.800000,-1.048824,0.016472,0.248824,3.121103
1.752000,-0.800000,-1.048594,0.026208,0.248594,3.099438
1.762000,-0.800000,-1.048321,0.020114,0.248321,3.085264
1.772000,-0.800000,-1.048295,-0.002058,0.248295,3.163773
1.782000,-0.800000,-1.048279,0.005085,0.248279,3.145072
1.792000,-0.800000,-1.048293,-0.007294,0.248293,3.157614
1.802000,-0.800000,-1.048360,-0.004827,0.248360,3.158181
1.812000,-0.800000,-1.048372,0.001257,0.248372,3.146733
1.822000,-0.800000,-1.048325,0.006898,0.248325,3.136181
1.832000,-0.800000,-1.048223,0.012453,0.248223,3.125562
1.842000,-0.800000,-1.048068,0.017425,0.248068,3.115346
1.852000,-0.800000,-1.047789,0.040399,0.247789,3.081314
1.862000,-0.800000,-1.047063,0.098055,0.247063,2.969109
1.872000,-0.800000,-1.045723,0.158398,0.245723,2.836250
1.882000,-0.800000,-1.043279,0.314101,0.243279,2.532667
1.892000,-0.800000,-1.038839,0.539686,0.238839,2.036209
1.902000,-0.800000,-1.032024,0.772265,0.232024,1.441185
1.912000,-0.800000,-1.022556,1.147499,0.222556,0.669745
1.922000,-0.800000,-1.008669,1.510562,0.208669,-0.476109
1.932000,-0.800000,-0.994394,1.329247,0.194394,-0.589958
1.942000,-0.800000,-0.981604,1.307716,0.181604,-0.614401
1.952000,-0.800000,-0.967524,1.435570,0.167524,-1.288653
1.962000,-0.800000,-0.954141,1.257642,0.154141,-1.259604
1.972000,-0.800000,-0.942489,1.116226,0.142489,-1.159988
1.982000,-0.800000,-0.934464,0.673293,0.134464,-0.489020
1.992000,-0.800000,-0.928239,0.663866,0.128239,-0.411862
